SNP	Chr	SNP.GRCh37	SNP.GRCh38.p12	type
rs2097853	11	61466267	61698795	proxy
rs4963390	11	61514821	61747349	proxy
rs11827215	11	61458595	61691123	proxy
rs59200224	11	61450137	61682665	proxy
rs12274157	11	61477647	61710175	proxy
rs2903825	11	61488968	61721496	proxy
rs115702847	11	61447356	61679884	proxy
rs60507107	11	61463769	61696297	proxy
rs2240287	11	61505583	61738111	proxy
rs58217294	11	61469503	61702031	proxy
rs4963243	11	61494327	61726855	proxy
rs731842	11	61480191	61712719	proxy
rs883724	11	61457857	61690385	proxy
rs72315101	11	61462761	61695290	proxy
rs11695051	2	73234432	73007303	proxy
rs4727194	7	88572624	88943310	proxy
rs73397358	7	88569271	88939957	proxy
rs12535041	7	88573471	88944157	proxy
rs4728793	7	88572510	88943196	proxy
rs7778626	7	88587805	88958491	proxy
rs7785253	7	88574893	88945579	proxy
rs12540166	7	88573021	88943707	proxy
rs6959513	7	88565816	88936502	proxy
rs17165838	7	88595031	88965717	proxy
rs7798642	7	88574711	88945397	proxy
rs4728795	7	88591638	88962324	proxy
rs4728794	7	88573446	88944132	proxy
rs60562281	13	26243327	25669189	proxy
rs372303596	13	26251626	NA	proxy
rs17082648	13	26252590	25678452	proxy
rs57063460	13	26245761	25671623	proxy
rs17082642	13	26252140	25725041	proxy
rs9581415	13	26245665	25671527	proxy
rs80112102	13	26241932	25667794	proxy
rs139136303	13	26246610	25665000	proxy
rs77705478	13	26246282	25718991	proxy
rs17082650	13	26253423	25679285	proxy
rs72474273	13	26243930	25670055	proxy
rs78876600	13	26272552	25698414	proxy
rs17685701	13	26246661	25672523	proxy
rs17623757	13	26239818	25664899	proxy
rs9578900	13	26252999	25666833	proxy
rs17685714	13	26248524	25674386	proxy
rs9581412	13	26245442	25671304	proxy
rs75925603	13	26245149	25671011	proxy
rs3117847	13	26300446	25678861	proxy
rs17082634	13	26249991	25675853	proxy
rs57341105	13	26240114	25665976	proxy
rs145081864	13	26249971	25675834	proxy
rs147841253	13	26240506	25707916	proxy
rs17082646	13	26252329	25678191	proxy
rs76478428	13	26252433	25678295	proxy
rs17159388	19	8320555	8255671	proxy
rs11881630	19	8319455	8254571	proxy
rs59708873	19	8318123	8253240	proxy
rs112607945	19	8319030	8254146	proxy
rs59141216	19	8322060	8257176	proxy
rs11878743	19	8318510	8253626	proxy
rs76415391	19	8318959	8254075	proxy
rs11042834	11	10502422	10480875	proxy
rs10918112	1	165009523	165040286	proxy
rs7545355	1	165008153	165038916	proxy
rs7515422	1	165010869	165041632	proxy
rs7522892	1	165007935	165038698	proxy
rs11584530	1	165008680	165039443	proxy
rs59221021	1	165004530	165035293	proxy
rs10918110	1	165004450	165035213	proxy
rs11585901	1	165009175	165039938	proxy
rs7545178	1	165008035	165038798	proxy
rs56405864	1	164999377	165030140	proxy
rs72700409	1	165007858	165038621	proxy
rs11588114	1	165005945	165036708	proxy
rs7542261	1	164999850	165030613	proxy
rs11589386	1	165003462	165034225	proxy
rs7535062	1	165008251	165039014	proxy
rs76888824	13	46068416	45494281	proxy
rs12877513	13	46062869	45488734	proxy
rs35485445	13	46098728	45524593	proxy
rs112485953	13	46060268	45486133	proxy
rs34843311	13	46088121	45513986	proxy
rs10109604	8	138870470	137858227	proxy
rs72732195	8	138863802	137851559	proxy
rs28614144	8	138903081	137890838	proxy
rs10113052	8	138855111	137842868	proxy
rs10106350	8	138892391	137880148	proxy
rs10109499	8	138870405	137858162	proxy
rs10097125	8	138895323	137883080	proxy
rs34678059	8	138873158	137860916	proxy
rs28557157	8	138906307	137894064	proxy
rs17637055	8	138870886	137858643	proxy
rs13258290	8	138891805	137879562	proxy
rs72732202	8	138872766	137860523	proxy
rs67271962	8	138874652	137862409	proxy
rs28572226	8	138867363	137855120	proxy
rs17688099	8	138869665	137857422	proxy
rs10103448	8	138891601	137879358	proxy
rs34283520	8	138875335	137863093	proxy
rs17636640	8	138863896	137851653	proxy
rs7003495	8	138868692	137856449	proxy
rs2326132	8	138866267	137854024	proxy
rs10099015	8	138870471	137858228	proxy
rs17688491	8	138873509	137861266	proxy
rs28451125	8	138867305	137855062	proxy
rs907458	8	138902764	137890521	proxy
rs7836782	8	138874133	137861890	proxy
rs13254703	8	138875263	137863020	proxy
rs17637077	8	138870930	137858687	proxy
rs28405229	8	138899674	137887431	proxy
rs28722657	8	138902219	137889976	proxy
rs7840180	8	138908526	137896283	proxy
rs13255949	8	138875692	137863449	proxy
rs2055925	8	138868184	137855941	proxy
rs6994602	8	138868141	137855898	proxy
rs67851840	8	138887580	137875337	proxy
rs9324462	8	138855902	137843659	proxy
rs17688288	8	138871329	137859086	proxy
rs6577851	8	138900567	137888324	proxy
rs35158122	8	138873241	137860998	proxy
rs7018121	8	138868918	137856675	proxy
rs10091842	8	138883593	137871350	proxy
rs17637186	8	138871984	137859741	proxy
rs34043643	8	138873284	137861041	proxy
rs7837202	8	138874482	137862239	proxy
rs34532093	8	138909282	137897039	proxy
rs68079038	8	138881234	137868991	proxy
rs17688170	8	138870775	137858532	proxy
rs10216670	8	138886076	137873833	proxy
rs79232604	8	138871922	137859679	proxy
rs10106204	8	138857377	137845134	proxy
rs7012461	8	138868388	137856145	proxy
rs13254452	8	138875210	137862967	proxy
rs34270793	8	138873252	137861009	proxy
rs9324464	8	138884783	137872540	proxy
rs13255150	8	138875074	137862831	proxy
rs67789355	8	138874705	137862462	proxy
rs17688419	8	138873060	137860817	proxy
rs17689035	8	138887396	137875153	proxy
rs28735984	8	138867187	137854944	proxy
rs7835495	8	138873976	137861733	proxy
rs35786211	8	138873764	137861521	proxy
rs17688572	8	138874774	137862531	proxy
rs6986921	8	138865556	137853313	proxy
rs28656962	8	138892596	137880353	proxy
rs117231522	8	138879767	137867524	proxy
rs10091316	8	138883132	137870889	proxy
rs6995073	8	138868386	137856143	proxy
rs10089020	8	138890739	137878496	proxy
rs10098299	8	138886824	137874581	proxy
rs6988607	8	138901399	137889156	proxy
rs17637301	8	138873112	137860869	proxy
rs10081559	8	138897530	137885287	proxy
rs13254086	8	138875752	137863509	proxy
rs7836642	8	138874051	137861808	proxy
rs17637387	8	138874731	137862488	proxy
rs3946847	8	138882204	137869961	proxy
rs17637161	8	138871413	137859170	proxy
rs17688364	8	138872628	137860385	proxy
rs28733379	8	138899703	137887460	proxy
rs7013764	8	138868538	137856295	proxy
rs76065946	13	60373704	59799570	proxy
rs13030635	2	222524442	221659722	proxy
rs13027652	2	222536406	221671686	proxy
rs10498121	2	222527540	221662820	proxy
rs66654519	2	222534219	221669499	proxy
rs12477986	2	222536261	221671541	proxy
rs6705320	2	222541155	221676435	proxy
rs17374079	2	222530150	221665430	proxy
rs34359741	2	222544081	221679362	proxy
rs72967155	2	222535637	221670917	proxy
rs17374455	2	222538149	221673429	proxy
rs34440628	2	222523887	221659167	proxy
rs74372956	13	26240971	25711802	proxy
rs77527219	13	26241391	25667253	proxy
rs11843468	13	26247268	25673130	proxy
rs78506365	13	26242224	25668086	proxy
rs3117849	13	26299179	25677489	proxy
rs76284784	13	26243784	25669646	proxy
rs143832859	13	26245963	25671825	proxy
rs10492429	13	26264247	25690109	proxy
rs11839132	13	26247399	25673261	proxy
rs142750744	13	26246321	25672184	proxy
rs11842653	13	26239037	25718219	proxy
rs74637438	13	26282044	25707906	proxy
rs10492430	13	26254210	25669006	proxy
rs7335338	13	26242505	25668367	proxy
rs80212504	13	26252558	25678420	proxy
rs59417366	13	26241432	25667294	proxy
rs141445792	13	26240508	25719670	proxy
rs17082631	13	26249774	25675636	proxy
rs56978167	13	26243029	25712365	proxy
rs3132336	13	26283208	25709070	proxy
rs76940966	13	26244904	25680072	proxy
rs11324437	13	26258892	25716716	proxy
rs61226721	13	26245228	25671090	proxy
rs58895640	13	26243144	25719595	proxy
rs17082627	13	26244944	25670806	proxy
rs7335489	13	26243885	25669747	proxy
rs3132366	13	26302144	25728006	proxy
rs75874153	13	26241265	25667127	proxy
rs143489428	13	26254013	25679876	proxy
rs7328462	13	26242017	25672473	proxy
rs113255940	10	102201452	100441695	proxy
rs2489048	10	102348497	100588740	proxy
rs7099965	10	102301165	100541408	proxy
rs201325761	10	102317565	100557809	proxy
rs10883501	10	102238326	100478569	proxy
rs4919466	10	102241213	100481456	proxy
rs1080698	10	102295114	100535357	proxy
rs7477246	10	102261538	100501781	proxy
rs2495759	10	102320363	100560606	proxy
rs150379205	10	102302937	100543181	proxy
rs4919471	10	102299239	100539482	proxy
rs10883506	10	102289743	100529986	proxy
rs12355942	10	102201320	100441563	proxy
rs7905961	10	102297391	100537634	proxy
rs4919470	10	102298920	100539163	proxy
rs11190591	10	102287778	100528021	proxy
rs11190569	10	102227409	100467652	proxy
rs11190594	10	102291092	100531335	proxy
rs3750632	10	102279295	100519538	proxy
rs74309117	10	102203750	100443994	proxy
rs10883508	10	102294413	100534656	proxy
rs4919464	10	102221195	100461438	proxy
rs7073586	10	102307671	100547914	proxy
rs76305793	10	102211159	100451403	proxy
rs2495737	10	102338344	100578587	proxy
rs2495743	10	102329739	100569982	proxy
rs2495739	10	102335507	100575750	proxy
rs2489050	10	102350898	100591141	proxy
rs2495747	10	102328247	100568490	proxy
rs11190587	10	102266638	100506881	proxy
rs17746014	10	102315354	100555597	proxy
rs59481707	10	102317603	100557846	proxy
rs3750631	10	102279294	100519537	proxy
rs11190590	10	102276292	100516535	proxy
rs4917902	10	102274998	100515241	proxy
rs3750629	10	102275727	100515970	proxy
rs2489042	10	102333672	100573915	proxy
rs2495742	10	102331364	100571607	proxy
rs3750633	10	102308214	100548457	proxy
rs2495738	10	102337377	100577620	proxy
rs2295774	10	102265847	100506090	proxy
rs11190559	10	102210572	100450815	proxy
rs3750719	10	102248950	100489193	proxy
rs10786596	10	102282126	100522369	proxy
rs2489040	10	102331298	100571541	proxy
rs7906394	10	102217780	100458023	proxy
rs3793706	10	102269085	100509328	proxy
rs9420785	10	102240451	100480694	proxy
rs75780010	10	102308800	100549043	proxy
rs2489051	10	102351785	100592028	proxy
rs3750627	10	102275642	100515885	proxy
rs145657016	10	102219749	100459992	proxy
rs2495745	10	102329075	100569318	proxy
rs3793772	10	102222825	100463068	proxy
rs11190589	10	102275471	100515714	proxy
rs2489043	10	102334327	100574570	proxy
rs3750630	10	102275780	100516023	proxy
rs7900678	10	102229016	100469259	proxy
rs11190597	10	102293676	100533919	proxy
rs2489047	10	102347028	100587271	proxy
rs11190593	10	102291067	100531310	proxy
rs144818236	10	102216766	100457009	proxy
rs11190581	10	102243387	100483630	proxy
rs75063298	10	102213600	100453843	proxy
rs150177532	10	102350448	100590692	proxy
rs3750626	10	102266316	100506559	proxy
rs11190583	10	102252015	100492258	proxy
rs7100386	10	102301417	100541660	proxy
rs7088512	10	102303498	100543741	proxy
rs113791644	10	102324330	100564573	proxy
rs11190588	10	102273565	100513808	proxy
rs11432078	10	102220325	100460569	proxy
rs11816840	10	102309220	100549463	proxy
rs6584383	10	102303065	100543308	proxy
rs4919469	10	102298855	100539098	proxy
rs12358461	10	102231873	100472116	proxy
rs79831012	10	102237059	100477302	proxy
rs7081063	10	102201944	100442187	proxy
rs79241401	10	102233689	100473933	proxy
rs2495746	10	102328270	100568513	proxy
rs7083184	10	102276266	100516509	proxy
rs11190563	10	102215943	100456186	proxy
rs11190592	10	102291059	100531302	proxy
rs10883511	10	102299407	100539650	proxy
rs2489046	10	102346282	100586525	proxy
rs4919465	10	102221703	100461946	proxy
rs603424	10	102075479	100315722	proxy
rs1260333	2	27748624	27525757	proxy
rs780094	2	27741237	27518370	proxy
rs6547692	2	27734972	27512105	proxy
rs780096	2	27741072	27518205	proxy
rs1260326	2	27730940	27508073	proxy
rs11336847	2	27748992	27526126	proxy
rs1260334	2	27748597	27525730	proxy
rs6753534	2	27752871	27530004	proxy
rs780093	2	27742603	27519736	proxy
rs11127048	2	27752463	27529596	proxy
rs373060500	2	27744364	27521498	proxy
rs1313566	2	27748904	27526037	proxy
rs780095	2	27741105	27518238	proxy
rs4665972	2	27598097	27375230	proxy
rs9595339	13	46108691	45534556	proxy
rs35441087	13	46075524	45501389	proxy
rs71431380	13	46072566	45498431	proxy
rs35391963	13	46042998	45468863	proxy
rs35160993	13	46095293	45521159	proxy
rs12583589	13	46056913	45482778	proxy
rs35950397	13	46095559	45521425	proxy
rs35772078	13	46062563	45488428	proxy
rs35758841	13	46047161	45473026	proxy
rs71431373	13	46041497	45467362	proxy
rs9652191	13	46108679	45534544	proxy
rs12869186	13	46064675	45490540	proxy
rs71431381	13	46085369	45511234	proxy
rs71431375	13	46042206	45468071	proxy
rs3829342	13	46050745	45476610	proxy
rs12583793	13	46057286	45483151	proxy
rs12877431	13	46048613	45474478	proxy
rs34973279	13	46080863	45506728	proxy
rs12871388	13	46068483	45494348	proxy
rs3794331	13	46053544	45479409	proxy
rs12585422	13	46045087	45470952	proxy
rs375307857	13	46060219	45486084	proxy
rs34436430	13	46055795	45481660	proxy
rs12585290	13	46062159	45488024	proxy
rs3751352	13	46050658	45476523	proxy
rs71431379	13	46069203	45495068	proxy
rs12857782	13	46045381	45471246	proxy
rs71436218	13	50849518	50275382	proxy
rs35413012	13	50939608	50365472	proxy
rs35299189	13	50862251	50288115	proxy
rs35383320	13	50931943	50357807	proxy
rs2066679	13	50856987	50282851	proxy
rs7996172	13	50870795	50296659	proxy
rs77186025	13	50904820	50330684	proxy
rs78393113	13	50904816	50330680	proxy
rs17363566	13	50934892	50360756	proxy
rs67217502	13	50909771	50335635	proxy
rs34972893	13	50851083	50276947	proxy
rs141381446	13	50870317	50296181	proxy
rs71082155	13	50850691	50276561	proxy
rs17074141	13	50915280	50341144	proxy
rs12853498	13	50913874	50339738	proxy
rs35650342	13	50854398	50280262	proxy
rs17074093	13	50888703	50314567	proxy
rs73264679	12	7131733	7024429	proxy
rs16933023	12	7107348	6999256	proxy
rs7318836	13	26244193	25667879	proxy
rs9939657	16	12565100	12471243	proxy
rs60426972	16	12565589	12471732	proxy
rs56027462	16	12563448	12469591	proxy
rs55775640	16	12569300	12475443	proxy
rs7198595	16	12564907	12471050	proxy
rs8047217	16	12572529	12478672	proxy
rs55917311	16	12566457	12472600	proxy
rs7192608	16	12564116	12470259	proxy
rs9939410	16	12564872	12471015	proxy
rs8047065	16	12572474	12478617	proxy
rs57122325	16	12565334	12471477	proxy
rs35816430	13	50932546	50358411	proxy
rs7986582	13	50872803	50298667	proxy
rs11842790	13	50924448	50350312	proxy
rs150725178	13	50856049	50281914	proxy
rs71436222	13	50880484	50306348	proxy
rs706603	13	50855023	50280887	proxy
rs35902227	13	50851346	50277210	proxy
rs35980102	13	50941803	50367667	proxy
rs34700115	13	50929020	50354884	proxy
rs34374535	13	50847273	50273137	proxy
rs34357487	13	50847892	50273756	proxy
rs34712361	13	50925317	50351181	proxy
rs67964536	13	50925565	50351429	proxy
rs12874278	13	50935922	50361786	proxy
rs35898422	13	50937470	50363335	proxy
rs71428294	13	50877919	50303783	proxy
rs12874827	13	50900736	50326600	proxy
rs17074143	13	50922773	50348637	proxy
rs71436220	13	50854938	50280802	proxy
rs71436219	13	50852082	50277946	proxy
rs12867018	13	50881782	50307646	proxy
rs79714483	13	50926076	50351940	proxy
rs7990202	13	50878543	50304407	proxy
rs12871645	13	50931565	50357429	proxy
rs17074145	13	50929389	50355253	proxy
rs34042295	13	50931719	50357583	proxy
rs35045939	13	50931941	50357805	proxy
rs35293597	13	50923744	50349609	proxy
rs12579775	12	7085171	6976009	proxy
rs113094203	12	7132336	7025032	proxy
rs2041601	12	7080582	6971420	proxy
rs56157656	12	7087711	6978549	proxy
rs4985155	16	15129459	15035602	proxy
rs12934835	16	15139051	15045194	proxy
rs34614532	16	15132908	15039051	proxy
rs4985124	16	15125441	15031584	proxy
rs4985123	16	15142768	15048911	proxy
rs16966947	16	15141045	15047188	proxy
rs3803575	16	15138447	15044590	proxy
rs4985152	16	15136619	15042762	proxy
rs6498541	16	15140657	15046800	proxy
rs16966952	16	15135943	15042086	proxy
rs35834671	16	15136042	15042202	proxy
rs1136001	16	15131974	15038117	proxy
rs12934815	16	15139017	15045160	proxy
rs111527709	16	15147329	15053473	proxy
rs4985149	16	15147338	15053481	proxy
rs79638963	16	15137482	15043626	proxy
rs7200543	16	15129970	15036113	proxy
rs35440863	16	15143291	15049435	proxy
rs4985154	16	15131642	15037785	proxy
rs1121	16	15131076	15037219	proxy
rs12920234	16	15138853	15044996	proxy
rs111536178	16	15132211	15038355	proxy
rs4500751	16	15140211	15046354	proxy
rs2740	16	15132108	15038251	proxy
rs62039480	16	15137450	15043593	proxy
rs55727637	16	15145252	15051395	proxy
rs14347	16	15133889	15040032	proxy
rs77927814	16	15124327	15030470	proxy
rs35983792	16	15146957	15053101	proxy
rs3803573	16	15138413	15044556	proxy
rs72789541	16	15127534	15033677	proxy
rs1741	16	15130351	15036494	proxy
rs72789542	16	15127535	15033678	proxy
rs1135999	16	15131962	15038105	proxy
rs72774845	16	15147954	15054097	proxy
rs35574015	16	15146061	15052204	proxy
rs67919983	16	805526	755526	proxy
rs13336445	16	804760	754760	proxy
rs7203849	16	805835	755835	proxy
rs4985150	16	15136685	15042828	proxy
rs16966953	16	15135854	15041997	proxy
rs577543	16	938967	888967	proxy
rs6498540	16	15130594	15036737	proxy
rs4985148	16	15147788	15053931	proxy
rs11645411	16	14629455	14535598	proxy
rs62037469	16	14635262	14541405	proxy
rs4782159	16	14652167	14558310	proxy
rs34608307	16	14626387	14532531	proxy
rs34664657	16	14672310	14578453	proxy
rs8047128	16	14708525	14614668	proxy
rs34186989	16	14698486	14604629	proxy
rs4782157	16	14700023	14606166	proxy
rs879486	11	61475233	61707761	proxy
rs198450	11	61469473	61702001	proxy
rs81659	11	61467052	61699580	proxy
rs62029314	16	15832141	15738284	proxy
rs4781683	16	15827503	15733646	proxy
rs4781684	16	15845015	15751158	proxy
rs12102743	16	15849426	15755569	proxy
rs57066595	16	15827404	15733547	proxy
rs13330959	16	15846698	15752841	proxy
rs4781686	16	15846798	15752941	proxy
rs4781685	16	15845100	15751243	proxy
rs34509256	16	15850871	15757014	proxy
rs2272554	16	15850204	15756347	proxy
rs2280764	16	15853596	15759739	proxy
rs374880534	16	14678349	14584500	proxy
rs12928399	16	14705001	14611144	proxy
rs540613	11	61680870	61913398	proxy
rs4963304	11	61446352	61678880	proxy
rs1460027	11	61931935	62164463	proxy
rs11230941	11	61930797	62163325	proxy
rs34345533	16	15133783	15039927	proxy
rs11376559	16	15131654	15037798	proxy
rs1792915	11	61931665	62164193	proxy
rs12222181	11	61940176	62172704	proxy
rs34931736	11	61946203	62178731	proxy
rs1675082	11	61930300	62162828	proxy
rs740004	11	61502910	61735438	proxy
rs17156254	11	61490245	61722773	proxy
rs55885283	11	61451607	61684135	proxy
rs12797206	11	61459012	61691540	proxy
rs61896065	11	61506250	61738778	proxy
rs11230946	11	61939527	62172055	proxy
rs4963474	11	61952029	62184557	proxy
rs1675102	11	61954009	62186537	proxy
rs1675081	11	61928742	62161270	proxy
rs12416816	11	61938729	62171257	proxy
rs34147856	11	61946329	62178857	proxy
rs1675080	11	61926661	62159189	proxy
rs148911503	11	61928996	NA	proxy
rs34382451	11	61946602	62179132	proxy
rs12285167	11	61492039	61724567	proxy
rs2013326	11	61501276	61733804	proxy
rs12788994	11	61509113	61741641	proxy
rs2187516	11	61460365	61692893	proxy
rs35571184	11	61507569	61740097	proxy
rs34699297	11	61509239	61741767	proxy
rs3931642	11	61462424	61694952	proxy
rs34290859	11	61501919	61734447	proxy
rs736121	11	61506584	61739112	proxy
rs11828739	11	61508074	61740602	proxy
rs34625218	11	61509229	61741757	proxy
rs60579330	11	61917948	62150476	proxy
rs11230933	11	61918746	62151274	proxy
rs4963288	11	61929468	62161996	proxy
rs10706898	11	61932058	62164587	proxy
rs143598460	11	61938138	62170667	proxy
rs1675085	11	61931516	62164044	proxy
rs639394	11	61631331	61863859	proxy
rs3741	11	61631614	61864142	proxy
rs520298	11	61631282	61863810	proxy
rs508768	11	61639335	61871863	proxy
rs518511	11	61631454	61863982	proxy
rs146311197	11	61637710	61870239	proxy
rs909268	11	61723703	61956231	proxy
rs760306	11	61724292	61956820	proxy
rs4963470	11	61929155	62161683	proxy
rs10897221	11	61939119	62171647	proxy
rs148777566	11	61938414	62170943	proxy
rs11230934	11	61918917	62151445	proxy
rs3741259	11	61282350	61514878	proxy
rs500850	11	61628290	61860818	proxy
rs546747	11	61640009	61872537	proxy
rs482548	11	61633182	61865710	proxy
rs562172	11	61626167	61858695	proxy
rs472031	11	61638420	61870948	proxy
rs2903922	11	61929298	62161826	proxy
rs10761778	10	65273782	63514022	proxy
rs4454603	10	65012750	63252990	proxy
rs10761771	10	65230164	63470404	proxy
rs7085621	10	65208926	63449166	proxy
rs11359293	10	65226769	63467010	proxy
rs4486511	10	65264266	63504506	proxy
rs10761779	10	65274927	63515167	proxy
rs10761772	10	65235829	63476069	proxy
rs10761763	10	65188318	63428558	proxy
rs10822159	10	65096250	63336490	proxy
rs7922587	10	65069614	63309854	proxy
rs7088799	10	65016174	63256414	proxy
rs7896518	10	65104500	63344740	proxy
rs7909960	10	65239177	63479417	proxy
rs71837985	10	65172799	63413042	proxy
rs10822153	10	65056813	63297053	proxy
rs10761766	10	65190327	63430567	proxy
rs10740116	10	65094992	63335232	proxy
rs10822168	10	65165184	63405424	proxy
rs150036478	10	65158772	63399013	proxy
rs10822164	10	65127258	63367498	proxy
rs10822161	10	65118203	63358443	proxy
rs3841602	10	65225899	63466140	proxy
rs10740115	10	65094990	63335230	proxy
rs5785566	10	65054786	63295027	proxy
rs7896783	10	65162153	63402393	proxy
rs3999089	10	65203808	63444048	proxy
rs7912893	10	65162000	63402240	proxy
rs7090111	10	65077994	63318234	proxy
rs2893919	10	65134778	63375018	proxy
rs10761758	10	65172747	63412987	proxy
rs7080386	10	65048306	63288546	proxy
rs7909269	10	65177766	63418006	proxy
rs7082470	10	65277026	63517266	proxy
rs10761753	10	65161903	63402143	proxy
rs35048644	10	65265705	63505946	proxy
rs4310508	10	65138573	63378813	proxy
rs7092784	10	65214749	63454989	proxy
rs2393969	10	65140440	63380680	proxy
rs35290825	10	65224200	63464441	proxy
rs9971352	10	65265108	63505348	proxy
rs34309561	10	65161904	63402145	proxy
rs10822156	10	65080727	63320967	proxy
rs7075901	10	65280994	63521234	proxy
rs7073753	10	65062820	63303060	proxy
rs6479896	10	65126832	63367072	proxy
rs7084707	10	65052542	63292782	proxy
rs12798596	11	61903406	62135934	proxy
rs12798783	11	61903464	62135992	proxy
rs4963466	11	61902126	62134654	proxy
rs71309127	11	61901855	62134384	proxy
rs7923544	10	65182256	63422496	proxy
rs10509189	10	65264126	63504366	proxy
rs7910927	10	65138910	63379150	proxy
rs10822163	10	65124098	63364338	proxy
rs3740331	10	65192288	63432528	proxy
rs10761762	10	65184717	63424957	proxy
rs34524635	10	65261176	63501417	proxy
rs7077580	10	65180885	63421125	proxy
rs140855985	10	65260508	63500749	proxy
rs10761742	10	65085048	63325288	proxy
rs10761756	10	65172328	63412568	proxy
rs12355784	10	65121565	63361805	proxy
rs7923609	10	65133822	63374062	proxy
rs3956912	10	65205881	63446121	proxy
rs10733792	10	65232539	63472779	proxy
rs10761750	10	65128619	63368859	proxy
rs10761752	10	65160321	63400561	proxy
rs10546984	10	65131440	63371681	proxy
rs10761751	10	65154885	63395125	proxy
rs10740125	10	65209609	63449849	proxy
rs7070296	10	65070438	63310678	proxy
rs10509186	10	65207018	63447258	proxy
rs10740129	10	65250808	63491048	proxy
rs7098181	10	65027143	63267383	proxy
rs10740118	10	65101207	63341447	proxy
rs2393966	10	65134814	63375054	proxy
rs10822158	10	65094383	63334623	proxy
rs9787438	10	65038030	63278270	proxy
rs10761741	10	65066186	63306426	proxy
rs10761737	10	65052205	63292445	proxy
rs10761731	10	65027610	63267850	proxy
rs10740126	10	65210935	63451175	proxy
rs2393977	10	65247609	63487849	proxy
rs10995477	10	65010672	63250912	proxy
rs10822155	10	65071215	63311455	proxy
rs7076310	10	65135672	63375912	proxy
rs10761739	10	65062008	63302248	proxy
rs4400684	10	65012687	63252927	proxy
rs4405189	10	65013935	63254175	proxy
rs4595427	10	65012944	63253184	proxy
rs7075195	10	65050659	63290899	proxy
rs3781974	11	61906864	62139392	proxy
rs2100944	19	8281635	8216751	proxy
rs7246804	19	8297629	8232745	proxy
rs2927726	19	8293449	8228565	proxy
rs10417444	19	8299270	8234386	proxy
rs2927722	19	8298618	8233734	proxy
rs2967625	19	8298411	8233527	proxy
rs12974739	19	8299168	8234284	proxy
rs35957662	19	8299604	8234726	proxy
rs2967624	19	8299554	8234670	proxy
rs899205	19	8284346	8219462	proxy
rs3042172	19	8284871	8219988	proxy
rs10414312	19	8285894	8221010	proxy
rs35799154	6	11037772	11037540	proxy
rs174598	11	61621194	61853722	proxy
rs57668028	11	61591995	61824524	proxy
rs174600	11	61622227	61854755	proxy
rs7233409	18	62170058	64502823	proxy
rs11874418	18	62174797	64507562	proxy
rs60132700	18	62170327	64503092	proxy
rs7227030	18	62169711	64502476	proxy
rs10469266	18	62169092	64501857	proxy
rs35499158	18	62172939	64505705	proxy
rs72935028	18	62171583	64504348	proxy
rs11786056	8	131553945	130541699	proxy
rs4842353	12	79068090	78674310	proxy
rs61927952	12	79216327	78822547	proxy
rs11111128	12	79106537	78712757	proxy
rs61927916	12	79143504	78749724	proxy
rs11754986	6	4143803	4143569	proxy
rs3804317	6	4135342	4135108	proxy
rs5873911	6	4137432	4137199	proxy
rs9503933	6	4142214	4141980	proxy
rs11752128	6	4143748	4143514	proxy
rs9405702	6	4146704	4146470	proxy
rs9405220	6	4144575	4144341	proxy
rs9405221	6	4144655	4144421	proxy
rs6916172	6	4141592	4141358	proxy
rs9503934	6	4142386	4142152	proxy
rs11754487	6	4143749	4143515	proxy
rs6935587	6	4132602	4132368	proxy
rs34472516	6	4145056	4144823	proxy
rs9378841	6	4143157	4142923	proxy
rs9392552	6	4141572	4141338	proxy
rs3789215	6	4135096	4134862	proxy
rs9392555	6	4144516	4144282	proxy
rs9392554	6	4144199	4143965	proxy
rs9378842	6	4143279	4143045	proxy
rs5840534	20	12939369	12958722	proxy
rs4814175	20	12959094	12978446	proxy
rs1321940	20	12959885	12979237	proxy
rs680379	20	12969400	12988752	proxy
rs438568	20	12958687	12978039	proxy
rs2327451	20	12953934	12973286	proxy
rs168622	20	12966089	12985441	proxy
rs4814176	20	12959398	12978750	proxy
rs686548	20	12973521	12992873	proxy
rs364585	20	12962718	12982070	proxy
rs4508668	20	12955601	12974953	proxy
rs34091864	20	12958492	12977847	proxy
rs202001589	10	102346090	100586348	proxy
rs2489041	10	102333635	100573878	proxy
rs10174365	2	134535260	133777689	proxy
rs56967944	2	134557821	133800250	proxy
rs28890001	2	134552615	133795044	proxy
rs76482222	2	134564137	133806566	proxy
rs6722456	2	134529091	133771520	proxy
rs73007689	2	134566428	133808857	proxy
rs77647604	2	134530884	133773313	proxy
rs79182081	2	134516803	133759232	proxy
rs6749899	2	134533433	133775862	proxy
rs74564104	2	134522844	133765273	proxy
rs79655603	2	134527611	133770040	proxy
rs80012820	2	134532238	133774667	proxy
rs78911463	2	134564368	133806797	proxy
rs12621239	2	134518737	133761166	proxy
rs79158219	2	134524732	133767161	proxy
rs77209234	2	134520179	133762608	proxy
rs77960569	2	134536645	133779074	proxy
rs12614516	2	134518354	133760783	proxy
rs3886664	2	134519368	133761797	proxy
rs12615694	2	134512362	133754791	proxy
rs114742747	2	134531117	133773546	proxy
rs75561508	2	134521288	133763717	proxy
rs7559706	2	134534062	133776491	proxy
rs76153145	2	134551408	133793837	proxy
rs12612332	2	134518573	133761002	proxy
rs73007671	2	134557143	133799572	proxy
